,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_022062145,R,,R,R,I,R,R,S,R,S,R,S,,R,R,S,S
GCA_022062165,S,,R,S,R,R,R,S,S,S,R,S,,R,R,S,S
GCA_022062185,R,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,I
GCA_022062205,S,R,I,R,R,R,R,S,S,R,R,S,,R,R,S,S
GCA_022062225,S,,R,R,R,R,R,R,S,S,R,S,,R,R,S,S
GCA_022062245,S,,R,R,R,S,R,R,R,S,S,S,,R,R,S,S
GCA_022062265,R,R,R,R,R,R,R,R,R,I,R,I,,R,R,S,R
GCA_022062285,S,I,S,R,S,R,S,S,S,S,I,S,,R,R,S,S
GCA_022062305,R,,R,S,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022062325,S,R,R,R,R,R,R,R,S,I,R,S,,R,R,S,I
GCA_022062345,S,R,R,S,R,R,S,S,I,S,R,S,,R,R,S,S
GCA_022062365,R,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,I
GCA_022062385,R,R,R,R,R,R,I,R,S,S,R,S,,R,R,S,R
GCA_022062405,R,,R,S,R,R,R,R,S,S,R,R,,R,R,R,
GCA_022062425,R,R,R,R,R,R,I,R,I,S,R,S,,R,R,S,
GCA_022062445,R,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022062465,I,R,R,S,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022062485,S,,R,S,R,R,R,R,S,S,R,S,,R,R,S,I
GCA_022062505,S,R,I,R,I,R,S,S,S,S,S,S,,R,R,S,S
GCA_022062525,I,,R,S,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022062545,S,,R,R,R,R,I,S,S,S,R,S,,R,R,S,
GCA_022062565,R,,R,S,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022062585,R,,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022062605,S,,R,R,R,R,R,R,I,I,R,S,,R,R,S,I
GCA_022062665,R,R,R,S,R,R,I,R,R,S,R,R,,R,R,R,
GCA_022062685,S,,R,R,R,R,R,R,I,S,R,S,,R,R,S,I
GCA_022062705,R,R,R,S,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022062725,R,R,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022062745,S,,R,R,R,S,S,R,R,S,S,S,,R,R,S,S
GCA_022062785,S,,R,R,R,R,I,I,R,S,S,S,,R,R,S,S
GCA_022062805,R,R,R,R,R,R,R,R,R,I,R,S,,R,R,S,R
GCA_022062825,S,,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022062845,R,,R,S,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022062865,S,,R,S,R,R,R,R,I,I,R,R,,R,R,R,
GCA_022062885,S,R,,R,R,R,R,,I,I,R,R,,R,R,R,R
GCA_022062925,S,R,R,R,R,R,R,R,R,S,R,S,,R,R,S,
GCA_022062945,S,,R,R,R,S,R,I,R,S,S,S,,R,R,S,
GCA_022062965,S,,S,R,S,R,S,S,R,S,R,S,,R,R,S,
GCA_022063005,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022063045,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022063065,S,,R,S,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022063085,S,,R,S,R,R,R,R,S,I,R,R,,R,R,R,R
